Дата подачи;Заказчик;Тип работ;Регион;Сумма тендера (тенге);Статус;Номер тендера;Срок (дней)
2024-03-20;ТОО KyzylordaStroy;Строительство ангара;Кызылорда;76000000;Проигран;KZ-0027;120
2024-03-22;АО НК КазМунайГаз;Строительство административного здания;Атырау;580000000;Выигран;KZ-0028;300
2024-03-25;ТОО EastBuild KZ;Капитальный ремонт дороги;Усть-Каменогорск;143000000;В процессе;KZ-0029;180
2024-03-28;ГУ Отдел строительства г. Актау;Строительство набережной;Актау;410000000;Выигран;KZ-0030;270
2024-04-01;ТОО Pavlodar Engineering;Реконструкция котельной;Павлодар;220000000;Проигран;KZ-0031;190
2024-04-03;ГУ Отдел ЖКХ г. Семей;Средний ремонт дороги;Семей;97000000;Выигран;KZ-0032;150
2024-04-05;ТОО Zhetysu Build;Строительство ФОКа;Талдыкорган;360000000;В процессе;KZ-0033;240
2024-04-08;АО KEGOC;Реконструкция ЛЭП;Карагандинская область;740000000;Выигран;KZ-0034;320
2024-04-10;ТОО AktauPromStroy;Строительство склада ГСМ;Актау;185000000;Проигран;KZ-0035;200
2024-04-12;ГУ Управление строительства г. Алматы;Капитальный ремонт школы;Алматы;164000000;Выигран;KZ-0036;170
2024-04-15;ТОО Astana Project;Строительство ЖК;Астана;1420000000;В процессе;KZ-0037;420
2024-04-18;АО Самрук-Қазына Construction;Строительство офиса;Астана;510000000;Выигран;KZ-0038;260
2024-04-20;ТОО TarazStroyInvest;Реконструкция водопровода;Тараз;118000000;Проигран;KZ-0039;150
2024-04-22;ГУ Отдел строительства г. Костанай;Строительство детсада;Костанай;205000000;Выигран;KZ-0040;210
2024-04-25;ТОО Shymkent Road Group;Капитальный ремонт дороги;Шымкент;189000000;В процессе;KZ-0041;200
2024-04-28;АО КазАвтоЖол;Строительство развязки;Алматинская область;1250000000;Выигран;KZ-0042;360
2024-05-01;ТОО UralStroyKZ;Строительство склада;Уральск;99000000;Проигран;KZ-0043;140
2024-05-03;ГУ Управление строительства г. Актобе;Капитальный ремонт больницы;Актобе;355000000;Выигран;KZ-0044;230
2024-05-05;ТОО KokshetauBuild;Строительство школы;Кокшетау;240000000;В процессе;KZ-0045;250
2024-05-08;АО НК КазМунайГаз;Строительство базы;Атырау;670000000;Выигран;KZ-0046;310
2024-05-10;ТОО Almaty Engineering;Ремонт теплотрассы;Алматы;92000000;Проигран;KZ-0047;130
2024-05-12;ГУ Отдел ЖКХ г. Туркестан;Средний ремонт дороги;Туркестан;101000000;Выигран;KZ-0048;160
2024-05-15;ТОО Karaganda Build City;Строительство ТРЦ;Караганда;820000000;В процессе;KZ-0049;340
2024-05-18;АО KEGOC;Строительство подстанции;Павлодарская область;600000000;Выигран;KZ-0050;280
2024-05-20;ТОО Semey Engineering;Капитальный ремонт общежития;Семей;87000000;Проигран;KZ-0051;120
2024-05-22;ГУ Отдел строительства г. Петропавловск;Строительство спортзала;Петропавловск;145000000;Выигран;KZ-0052;180
2024-05-25;ТОО Astana Dor Service;Реконструкция моста;Астана;390000000;В процессе;KZ-0053;240
2024-05-28;АО Самрук-Энерго;Строительство ТЭЦ блока;Экибастуз;1350000000;Выигран;KZ-0054;400
2024-06-01;ТОО Aktobe Road KZ;Капитальный ремонт дороги;Актобе;176000000;Проигран;KZ-0055;190
2024-06-03;ГУ Управление строительства г. Шымкент;Строительство школы;Шымкент;260000000;Выигран;KZ-0056;260
2024-06-05;ТОО Zhambyl Construction;Строительство склада;Тараз;112000000;В процессе;KZ-0057;150
2024-06-08;АО КазТрансГаз;Реконструкция газопровода;Кызылорда;540000000;Выигран;KZ-0058;300
2024-06-10;ТОО Pavlodar Stroy Invest;Капитальный ремонт больницы;Павлодар;330000000;Проигран;KZ-0059;220
2024-06-12;ГУ Отдел ЖКХ г. Усть-Каменогорск;Ремонт дороги;Усть-Каменогорск;98000000;Выигран;KZ-0060;150
2024-06-15;ТОО Astana MegaBuild;Строительство ЖК;Астана;1580000000;В процессе;KZ-0061;450
2024-06-18;АО KEGOC;Строительство ЛЭП;Костанайская область;720000000;Выигран;KZ-0062;310
2024-06-20;ТОО Mangystau Road;Средний ремонт дороги;Актау;119000000;Проигран;KZ-0063;160
2024-06-22;ГУ Управление строительства г. Алматы;Строительство детсада;Алматы;215000000;Выигран;KZ-0064;210
2024-06-25;ТОО Karaganda Invest Stroy;Строительство цеха;Караганда;295000000;В процессе;KZ-0065;230
2024-06-28;АО Самрук-Қазына Construction;Реконструкция офиса;Астана;480000000;Выигран;KZ-0066;200
2024-07-01;ТОО Shymkent Build Group;Капитальный ремонт школы;Шымкент;168000000;Проигран;KZ-0067;180
2024-07-03;ГУ Отдел строительства г. Кокшетау;Строительство спорткомплекса;Кокшетау;355000000;Выигран;KZ-0068;250
2024-07-05;ТОО Aktobe Engineering;Строительство ангара;Актобе;89000000;В процессе;KZ-0069;140
2024-07-08;АО НК КазАвтоЖол;Реконструкция трассы;Жамбылская область;990000000;Выигран;KZ-0070;330
2024-07-10;ТОО Almaty Stroy Project;Строительство бизнес-центра;Алматы;910000000;Проигран;KZ-0071;300
2024-07-12;ГУ Управление строительства г. Туркестан;Капитальный ремонт больницы;Туркестан;305000000;Выигран;KZ-0072;220
2024-07-15;ТОО Ural Invest Build;Строительство склада;Уральск;97000000;В процессе;KZ-0073;150
2024-07-18;АО KEGOC;Строительство подстанции;Атырауская область;650000000;Выигран;KZ-0074;290
2024-07-20;ТОО Semey Road Stroy;Средний ремонт дороги;Семей;102000000;Проигран;KZ-0075;160
2024-07-22;ГУ Отдел строительства г. Талдыкорган;Строительство школы;Талдыкорган;238000000;Выигран;KZ-0076;240
2024-07-25;ТОО Astana City Build;Строительство ЖК;Астана;1490000000;В процессе;KZ-0077;420
2024-07-28;АО Самрук-Энерго;Реконструкция котельной;Павлодар;410000000;Выигран;KZ-0078;230
2024-08-01;ТОО Kyzylorda Road;Капитальный ремонт дороги;Кызылорда;167000000;Проигран;KZ-0079;180
2024-08-03;ГУ Управление строительства г. Атырау;Строительство детсада;Атырау;220000000;Выигран;KZ-0080;210
2024-08-05;ТОО Karaganda Industrial Build;Строительство завода;Караганда;1850000000;В процессе;KZ-0081;480
2024-08-08;АО КазТрансГаз;Строительство газораспределительной станции;Актобе;570000000;Выигран;KZ-0082;300
2024-08-10;ТОО Pavlodar City Stroy;Капитальный ремонт школы;Павлодар;154000000;Проигран;KZ-0083;170
2024-08-12;ГУ Отдел ЖКХ г. Алматы;Ремонт теплотрассы;Алматы;99000000;Выигран;KZ-0084;140
2024-08-15;ТОО Shymkent MegaStroy;Строительство ТРЦ;Шымкент;880000000;В процессе;KZ-0085;350
2024-08-18;АО KEGOC;Реконструкция ЛЭП;Акмолинская область;730000000;Выигран;KZ-0086;320
2024-08-20;ТОО Aktau Build Invest;Строительство склада;Актау;108000000;Проигран;KZ-0087;150
2024-08-22;ГУ Управление строительства г. Костанай;Строительство школы;Костанай;242000000;Выигран;KZ-0088;250
2024-08-25;ТОО Astana Road Group;Капитальный ремонт дороги;Астана;190000000;В процессе;KZ-0089;200
2024-08-28;АО Самрук-Қазына Construction;Строительство административного здания;Астана;520000000;Выигран;KZ-0090;270
2024-09-01;ТОО Zhambyl Road Service;Средний ремонт дороги;Тараз;104000000;Проигран;KZ-0091;160
2024-09-03;ГУ Отдел строительства г. Уральск;Строительство спортзала;Уральск;148000000;Выигран;KZ-0092;190
2024-09-05;ТОО Almaty Industrial Stroy;Строительство цеха;Алматы;310000000;В процессе;KZ-0093;240
2024-09-08;АО НК КазМунайГаз;Строительство производственной базы;Атырау;690000000;Выигран;KZ-0094;320
2024-09-10;ТОО Kokshetau Engineering;Капитальный ремонт больницы;Кокшетау;298000000;Проигран;KZ-0095;210
2024-09-12;ГУ Управление строительства г. Семей;Строительство детсада;Семей;212000000;Выигран;KZ-0096;220
2024-09-15;ТОО Astana Construction Plus;Строительство ЖК;Астана;1620000000;В процессе;KZ-0097;450
2024-09-18;АО KEGOC;Строительство подстанции;Жетысуская область;610000000;Выигран;KZ-0098;300
2024-09-20;ТОО Aktobe MegaBuild;Капитальный ремонт школы;Актобе;158000000;Проигран;KZ-0099;170
2024-09-22;ГУ Отдел строительства г. Шымкент;Строительство поликлиники;Шымкент;345000000;Выигран;KZ-0100;230
